Játékos;Dátum;Cserélt;Vett Jokert;Zöld végső;Piros végső;Aranykör;Tökéletes szám;Nyeremény összege;Kiesés lépése
Tomi2;2026. 09. 20.;Nem;Nem;9;3;7-9;9;1600000;

Kérdés;Tény;Tipped
"A neutrínók tömeg nélküli részecskék a Standard Modell szerint, és ezt a mai napig egyetlen kísérlet sem cáfolta.";HAMIS;IGAZ
"A Weimari Köztársaság alkotmánya (1919) tartalmazott olyan vészhelyzeti felhatalmazást (48. cikkely), amelyet később a nácik törvényesen használtak fel a hatalom megszilárdítására.";IGAZ;IGAZ
"Minden elevenszülő álat emlős.";HAMIS;HAMIS
"Azonos teljesítmény esetén az áramerősség és a feszültség egyenesen arányos.";HAMIS;HAMIS
"A Mount Everest a Föld legmagasabb hegye, és egyben a tengerszinttől mérve a legmagasabb pontja is a bolygónak, ha a hegy alapjától mérjük a magasságát.";HAMIS;HAMIS
"A magyar nyelv az uráli nyelvcsaládba tartozik.";IGAZ;IGAZ
"A Fermat-sejtést (nagy Fermat-tétel) végül maga Pierre de Fermat bizonyította be, csak a bizonyítás évszázadokra elveszett.";HAMIS;IGAZ
"A Habsburgok ""Ausztria hatalmát házasságokkal növeljed"" (Bella gerant alii, tu felix Austria nube) elve arra utal, hogy dinasztikus házasságokkal, háború nélkül szereztek területeket, például Spanyolországot és Burgundiát is.";IGAZ;IGAZ
"A világ legnagyobb óceánja több mint a Föld felszínének egyharmadát lefedi.";IGAZ;IGAZ
"A Gödel-féle nemteljességi tételek azt bizonyítják, hogy minden matematikai állítás bizonyítható vagy cáfolható egy elég erős, ellentmondásmentes axiómarendszerben.";HAMIS;IGAZ
"A polipoknak három szívük van, és kék a vérük.";IGAZ;IGAZ
"A speciális relativitáselmélet szerint egy tárgy tömege a sebességével arányosan nő, ezért egy foton, mivel fénysebességgel mozog, végtelen tömegű lenne.";HAMIS;HAMIS
